12/08/20 13:57:26:204 | [INFO] |  |  |  | AGSService |  |  | 12184 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_xejpon
12/08/20 13:57:26:204 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 12184 | Sandbox for SLCachePath
12/08/20 13:57:27:338 | [INFO] |  |  |  | AGSService |  |  | 12028 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:57:27:338 | [INFO] |  |  |  | AGSService |  |  | 12028 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bpdugn
12/08/20 13:57:27:338 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 12028 | Sandbox for SLCachePath
12/08/20 13:57:29:389 | [INFO] |  |  |  | AGSService |  |  | 11528 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:57:29:389 | [INFO] |  |  |  | AGSService |  |  | 11528 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ergazo
12/08/20 13:57:29:389 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 11528 | Sandbox for SLCachePath
12/08/20 13:57:31:845 | [INFO] |  |  |  | AGSService |  |  | 11480 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:57:31:846 | [INFO] |  |  |  | AGSService |  |  | 11480 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_kmcscq
12/08/20 13:57:31:846 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 11480 | Sandbox for SLCachePath
12/08/20 13:57:33:181 | [INFO] |  |  |  | AGSService |  |  | 11884 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:57:33:181 | [INFO] |  |  |  | AGSService |  |  | 11884 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rzqdnr
12/08/20 13:57:33:182 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 11884 | Sandbox for SLCachePath
12/08/20 13:57:34:314 | [INFO] |  |  |  | AGSService |  |  | 10956 | *********** AGS Service Launched = 7.1.0.83 ************
12/08/20 13:57:34:314 | [INFO] |  |  |  | AGSService |  |  | 10956 | AGS-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_xmnvqk
12/08/20 13:57:34:315 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 10956 | Sandbox for SLCachePath
12/08/20 13:57:37:265 | [INFO] |  |  |  | AGSHelper |  |  | 7088 | AGSHelper Started 7.2.0.32
